volume_id,volume_title,doc_id,doc_number,title,opener,date_guess,url,local_html,local_txt,hit_type,matched_terms,excerpt
frus1943China,"Foreign Relations of the United States, Diplomatic Papers, 1943, China",d310,310,The Ambassador in China (Gauss) to the Secretary of State,"Chungking , December 7, 1943—4 p.m. [Received 6:20 p.m.]","December 7, 1943",https://history.state.gov/historicaldocuments/frus1943China/d310,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1943China/d310.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1943China/d310.txt,person_candidate,Chang Lan,"lly denies Chungking intends attacking Communists at present. While admitting Communists have formed in North China barrier against northward advance of Chungking troops, he states puppet troops in the North under Chi Hsieh-yuan (Peiping régime) and those in Kifeng region under Chang Lan-feng (Nanking régime) will be used by Chungking to oppose Communists. If Chungking-Communist clash should occur, he said, certain Communist [ puppet? ] units would support Central Government. Gauss"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d360,360,The Second Secretary of Embassy in China (Penfield) to the Secretary of State,"No. 23 Chengtu , May 30, 1944. [Received June 19.]","May 30, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d360,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d360.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d360.txt,person_candidate,Chang Lan,"nt provocateur . Within the past few days, however, I have received indications from two other independent sources that some program such as that she described is being actively considered in Chinese “small party” circles. During the course of a recent call on Chang Piao-fang (Chang Lan), an elderly non-Kuomintang political leader, Mr. Chang talked along very similar lines. He said that Kuomintang party rule based on fascist principles has alienated the “hearts of the people” and, if continued, will inter alia make it extremely difficult to bring the war to"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d477,477,The Second Secretary of Embassy in China (Penfield) to the Secretary of State,"No. 53 Chengtu , October 28, 1944. [Received November 23.]","October 28, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d477,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d477.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d477.txt,person_candidate,Chang Lan,"h in public and in private, relatively active and widespread criticism of the Central Government and demands for the institution of democracy continue locally. This activity is manifested vocally not only in the public speeches of those non-Kuomintang political leaders such as Chang Lan who do not hesitate to express themselves openly, but also in the private conversation of many political, military and business leaders. Within recent weeks, for instance, Generals Teng Hsi-hou and P’an Wen-hwa and General Liu Wen-hui’s Chief of Staff have told me in almost iden"
frus1945v07,"Foreign Relations of the United States, Diplomatic Papers, 1945, The Far East, China, Volume VII",d95,95,The Second Secretary of Embassy in China (Rice) to the Ambassador in China (Hurley),"No. 233 Sian , July 6, 1945.","July 6, 1945",https://history.state.gov/historicaldocuments/frus1945v07/d95,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1945v07/d95.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1945v07/d95.txt,person_candidate,Chang Lan,"ander-in-Chief of the Third District Army, stationed in Shantung; General Ho P’eng-chü, Commander-in-Chief of the Fourth District Army, stationed in northern Kiangsu; General Pang Ping-hsün, Commander-in-Chief of the Fifth District Army, stationed in northern Honan; and, General Chang Lan-feng, Commander-in-Chief of the Second Group Army, stationed on both sides of the Lunghai Railway east of Chenghsien, Honan.[)] General Fu Tso-yi, before he left Chungking at the conclusion of this spring’s Sixth Kuomintang Congress, is quite reliably reported to have been tol"
frus1945v07,"Foreign Relations of the United States, Diplomatic Papers, 1945, The Far East, China, Volume VII",d147,147,Memorandum by the Chief of the Division of Chinese Affairs (Vincent),"[ Washington ,] January 31, 1945.","January 31, 1945",https://history.state.gov/historicaldocuments/frus1945v07/d147,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1945v07/d147.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1945v07/d147.txt,person_candidate,Huang Yen-pei; Liang Shu-ming,"In general, more democracy in China now , the crux of all problems and in particular the immediate war situation. [FDP, CPA, Ta Kung Pao , some Kuomintang members in private conversations, Sun Fo, Feng Yu-hsiang, General Yang Chieh, General Li Chi-shen, General Liu Wen-hui, Huang Yen-pei, K. P. Chen] 45a 1. End of political tutelage and commencement of putting into effect of constitutional government; recognition of civil liberties. [PPC resolution, FDP, Sun Fo, Huang Yen-pei] 2. Granting of real power to People’s Political Council; reorganization of loc --- Fo, Feng Yu-hsiang, General Yang Chieh, General Li Chi-shen, General Liu Wen-hui, Huang Yen-pei, K. P. Chen] 45a 1. End of political tutelage and commencement of putting into effect of constitutional government; recognition of civil liberties. [PPC resolution, FDP, Sun Fo, Huang Yen-pei] 2. Granting of real power to People’s Political Council; reorganization of local assemblies; calling of the National Congress during the war. [PPC members, FDP, Ta Kung Pao , K. P. Chen] 3. A wider basis for the present government; a coalition for war, with representation --- he reorganization of Chinese armed forces and changes in their leadership to enable more effective prosecution of the war. [PPC, FDP, Feng Yu-hsiang, General Yang Chieh] 1. Reform of conscription methods. [PPC resolution, Chiang Kai-shek, Chiang Mon-lin, General Li Chi-shen, Huang Yen-pei, National Herald , academic leaders] 2. Better treatment of troops: provision of adequate food and medicines as a basic minimum; better troop training methods. [PPC resolution, FDP, Ta Kung Pao , Chiang Kai-shek, Chiang Mon-lin, Feng Yu-hsiang, General Yang Chieh, General Li --- control of Government banks. [PPC resolution] 10. Agrarian reform: reduction of extortionate rents and usurious interest rates levied on the farming classes; check the growing concentration of land holding; end military extortions against farmers. [Sun Fo, Madame Sun Yat-sen, Liang Shu-ming] appendix Sun Fo (son of Sun Yat-sen), President of the Legislative Yuan. Feng Yu-hsiang—revolutionary military leader; member, State Council and National Military Council. General Yang Chieh—formerly Deputy Chief of Staff to Generalissimo, President of Central Mil --- Generalissimo, President of Central Military Academy, and Ambassador to Soviet Union. General Li Chi-shen—independent military and political leader in Southwest; former Inspector General of Military Training. General Liu Wen-hui—Chairman, Sikang Provincial Government. Dr. Huang Yen-pei—prominent educator; head of Vocational Education Group of FDP. K. P. Chen—member, Central Planning Board; head of Shanghai Commercial and Savings Bank; former chairman of Foreign Trade Commission. Quo Tai-Chi—member, Supreme National Defense Council; formerly Minister for"
frus1945v07,"Foreign Relations of the United States, Diplomatic Papers, 1945, The Far East, China, Volume VII",d228,228,The Chargé in China (Atcheson) to the Secretary of State,"No. 279 Chungking , April 5, 1945. [Received April 17.]","April 5, 1945",https://history.state.gov/historicaldocuments/frus1945v07/d228,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1945v07/d228.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1945v07/d228.txt,person_candidate,Liang Shu-ming,"ormer Chief of Staff of General Tsai Ting-kai, and now a close associate of General Tsai and Marshal Li in their efforts to set up an autonomous regime in the Kwangtung-Kwangsi border region. According to a Chinese informant of the Embassy who was formerly a co-worker with Dr. Liang Shu-ming in the latter’s rural reconstruction activities in Shantung, General Chang Yen was not assassinated, as reported in Mr. Service’s despatch. It appears that General Chang, while on a tour of southeast Kwangsi to stimulate interest in the Li Chi-shen movement and to recruit local"
frus1945v07,"Foreign Relations of the United States, Diplomatic Papers, 1945, The Far East, China, Volume VII",d245,245,The Ambassador in China (Hurley) to the Secretary of State,"Chungking , April 30, 1945. [Received May 1—11:14 a.m.]","April 30, 1945",https://history.state.gov/historicaldocuments/frus1945v07/d245,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1945v07/d245.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1945v07/d245.txt,person_candidate,Chang Lan,"overseas and 75 from cultural associations and economic societies. The more prominent non-Kuomintang members include Mao Tze-tung, Chou En-lai, Teng Yung-chiao (Mrs. Chou En-lai), Lin Tze-han and Tung Pi-wu (Communist); Li Huang and Tso Shun-sheng (Youth Party); Carson Chang and Chang Lan (National Socialists); and Bishop Paul Yu-pin, Hu Shih and James Yen (non-party). According to the Ta Kung Pao , the Fourth PPC represents certain improvements: (1) More members have been elected, those provinces and municipalities which have their own councils having elected"
frus1946v09,"Foreign Relations of the United States, 1946, The Far East: China, Volume IX",d579,579,"Minutes of Conference Between General Marshall and Dr. Lo Lung-chi and Dr. Carsun Chang, at General Marshall’s House, June 21, 1946, 8:20 a.m.",,"June 21, 1946",https://history.state.gov/historicaldocuments/frus1946v09/d579,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v09/d579.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v09/d579.txt,person_candidate,Lo Lung-chi,"Minutes of Conference Between General Marshall and Dr. Lo Lung-chi and Dr. Carsun Chang, at General Marshall’s House, June 21, 1946, 8:20 a.m. Marshall Mission Files, Lot 54–D270 [Document 579] Minutes of Conference Between General Marshall and Dr. Lo Lung-chi and Dr. Carsun Chang, at General Marshall’s House, June 21, 1946, 8:20 a.m. Ju --- Minutes of Conference Between General Marshall and Dr. Lo Lung-chi and Dr. Carsun Chang, at General Marshall’s House, June 21, 1946, 8:20 a.m. Marshall Mission Files, Lot 54–D270 [Document 579] Minutes of Conference Between General Marshall and Dr. Lo Lung-chi and Dr. Carsun Chang, at General Marshall’s House, June 21, 1946, 8:20 a.m. June 21, 1946, 8:20 a.m. Also present: Captain Soong Dr. Lo stated that he and Dr. Chang had suggested to Gen. Chou that he consider giving the American team member final authority to c"
frus1946v09,"Foreign Relations of the United States, 1946, The Far East: China, Volume IX",d718,718,"Minutes of Meeting Between General Marshall and General Yu Ta-wei at No. 5 Ning Hai Road, Nanking, July 31, 1946, 6:45 p.m.",,"July 31, 1946",https://history.state.gov/historicaldocuments/frus1946v09/d718,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v09/d718.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v09/d718.txt,person_candidate,Lo Lung Chi,"utrageous situation. What the Generalissimo says to all these things is, that he is in a difficult position because he, the Generalissimo, has to have each liberal watched lest something happened to him and the Government be falsely accused. General Marshall mentioned that Dr. Lo Lung Chi had again made statements to the press of a private conversation he had had with General Marshall even after General Marshall had given him repeated warnings that he could not talk to him if that were to be the case every time. Of course, he is one of those individuals who is sc"
frus1946v10,"Foreign Relations of the United States, 1946, The Far East: China, Volume X",d86,86,"Minutes of Meeting Between General Marshall and Dr. Stuart at No. 5 Ning Hai Road, Nanking, September 12, 1946, 7 p.m.",,"September 12, 1946",https://history.state.gov/historicaldocuments/frus1946v10/d86,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v10/d86.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v10/d86.txt,person_candidate,Lo Lung Chi,ished to leave the American Government out altogether. General Marshall suggested that since reports had it that the Generalissimo would actually get back to Nanking on Sunday that during the intervening period it would be best for American mediators to sit quiet. He felt that Lo Lung Chi had smeared things up effectively by his random talk to the papers which had been animated by the remote hope that he might be able to get a representative on the Committee of Five. Doctor Stuart agreed that it would probably be a good idea to wait quietly for a few days as he
frus1946v10,"Foreign Relations of the United States, 1946, The Far East: China, Volume X",d224,224,"Minutes of Meeting Between General Marshall and Three Third Party Delegates: Mr. Lo Lung-chi, Mr. Miao Yun-tai, and Mr. Li Hwang at No. 5 Ning Hai Road, Nanking, October 27, 1946, 5:20 p.m.",,"October 27, 1946",https://history.state.gov/historicaldocuments/frus1946v10/d224,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v10/d224.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v10/d224.txt,person_candidate,Lo Lung Chi; Lo Lung-chi,"Minutes of Meeting Between General Marshall and Three Third Party Delegates: Mr. Lo Lung-chi, Mr. Miao Yun-tai, and Mr. Li Hwang at No. 5 Ning Hai Road, Nanking, October 27, 1946, 5:20 p.m. Marshall Mission Files, Lot 54–D270 [Document 224] Minutes of Meeting Between General Marshall and Three Third Party Delegates: Mr. Lo Lung-chi, Mr. Miao Yun-tai, and Mr. Li Hw --- Three Third Party Delegates: Mr. Lo Lung-chi, Mr. Miao Yun-tai, and Mr. Li Hwang at No. 5 Ning Hai Road, Nanking, October 27, 1946, 5:20 p.m. Marshall Mission Files, Lot 54–D270 [Document 224] Minutes of Meeting Between General Marshall and Three Third Party Delegates: Mr. Lo Lung-chi, Mr. Miao Yun-tai, and Mr. Li Hwang 24 at No. 5 Ning Hai Road, Nanking, October 27, 1946, 5:20 p.m. Nanking, October 27, 1946, 5:20 p.m. Also present: Col. Hutchin Mr. Lo Lung Chi informed General Marshall that the Third Party was now facing a crisis in t --- es of Meeting Between General Marshall and Three Third Party Delegates: Mr. Lo Lung-chi, Mr. Miao Yun-tai, and Mr. Li Hwang 24 at No. 5 Ning Hai Road, Nanking, October 27, 1946, 5:20 p.m. Nanking, October 27, 1946, 5:20 p.m. Also present: Col. Hutchin Mr. Lo Lung Chi informed General Marshall that the Third Party was now facing a crisis in their negotiations because of the recent capture of Antung by Nationalist forces. The Third Party had presented a plan containing three articles to the Communist delegation. Chou En-lai had unofficially ac --- etermined. The Generalissimo is coming back tomorrow. General Marshall suggested that the Third Party delegates carry their points up to the Generalissimo and to his advisors. In this respect, the way or manner in which the subject was to be presented was very important. Mr. Lo Lung Chi asked General Marshall what he thought of the three articles. He then enunciated the three articles as follows: 1. All troops throughout the country were to remain in their present locations, and the cessation of hostilities was to take effect immediately. 2. The local gove --- ately. 2. The local governments throughout China, including Manchuria, would be decided by the State Council. 3. The five decisions of the PCC would be carried out in accordance with the PCC procedure specified. As to convening the National Assembly on 12 November, Dr. Lo Lung Chi said that the Third Party was giving consideration to having an opening ceremony on 12 November but postponing all business until a month later for the purpose of awaiting arrivals of the delegates. Mr. Miao elaborated on this point, stating that they would go ahead with the w"
frus1946v10,"Foreign Relations of the United States, 1946, The Far East: China, Volume X",d226,226,"Notes on Meeting Between General Marshall and Dr. Stuart at the American Embassy, Nanking, October 29, 1946, 10:45 a.m.",,"October 29, 1946",https://history.state.gov/historicaldocuments/frus1946v10/d226,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v10/d226.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1946v10/d226.txt,person_candidate,Chang Po-chun; Huang Yen-pei; Lo Lung Chi; Lo Lung-chi,"ernment and discuss the question of calling the National Assembly, thus making it possible for all to take part in its meetings. At the same time the Constitutional Draft Committee should be convened in order to complete its revision. (Signed) Mo Te-hui Carson Chang Li Huang Huang Yen-pei Miao Chia-ming Tso Shun-sheng Liang Shu-min Yu Chia-chu Chang Po-chun Chen Chi-t’ien Lo Lung-chi Hsu Fu-liu[”] Doctor Stuart said that the Generalissimo feels he is unable to accept this program. He has sent for the Third Party delegates to come to his house at 11:00 o’cl --- s making it possible for all to take part in its meetings. At the same time the Constitutional Draft Committee should be convened in order to complete its revision. (Signed) Mo Te-hui Carson Chang Li Huang Huang Yen-pei Miao Chia-ming Tso Shun-sheng Liang Shu-min Yu Chia-chu Chang Po-chun Chen Chi-t’ien Lo Lung-chi Hsu Fu-liu[”] Doctor Stuart said that the Generalissimo feels he is unable to accept this program. He has sent for the Third Party delegates to come to his house at 11:00 o’clock this morning where he will tell the Third Party Group that they sh --- to take part in its meetings. At the same time the Constitutional Draft Committee should be convened in order to complete its revision. (Signed) Mo Te-hui Carson Chang Li Huang Huang Yen-pei Miao Chia-ming Tso Shun-sheng Liang Shu-min Yu Chia-chu Chang Po-chun Chen Chi-t’ien Lo Lung-chi Hsu Fu-liu[”] Doctor Stuart said that the Generalissimo feels he is unable to accept this program. He has sent for the Third Party delegates to come to his house at 11:00 o’clock this morning where he will tell the Third Party Group that they should have taken his own eig --- s not clear at the time of the meeting, but later consideration introduced the thought that this was possibly Chou En Lai’s left handed way of putting General Marshall back into the position of mediator. General Marshall then read extracts of the notes on his two meetings with Lo Lung Chi, [at] one of which Carson Chang was present. General Marshall emphasized to the Third Party delegates the importance of avoiding being submerged in a mass of petty detail, and concentrating on fundamental issues. He suggested that they concentrate on the local government problem"
