dataset,newspaper_title,issue_id,issue_date,page_number,article_id,article_title,article_text_1st50words,matched_terms,url
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460425-1,25 April 1946,4,maltribune19460425-1.2.45,Mr. A. N. Mitra,"Mr. A. N. Mitra At a meeting of the New Democratic League of Indians on April 21, at the Singapore Municipal and Government Employees Labour Union, Race Course Lane Mr. A. N.- M tra, was elected President in place of Mr. C. D. Nair who is leaving for India.",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460425-1.2.45
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460625-1,25 June 1946,5,maltribune19460625-1.2.83,Peace Delegates Beaten Up,"Peace Delegates Beaten Up NANKING. June 24.—A howling mob assaulted and beat the ""peace delegates"" at Nanking's railroad station, resulting in slight injuries to the members of the delegation. Hie delegation, one democratic League member, and three Chinese reporters were taken to hospital. The gendarmes made no arrests. Chinese communists",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460625-1.2.83
Morning Tribune 1946-1949,Morning Tribune,morningtribune19460625-1,25 June 1946,1,morningtribune19460625-1.2.3,Peace  Delegates  Beaten Up,"Peace Delegates Beaten Up NANKING. June 24.— A howling mob assaulted and beat the ""peace delegates"" at Nanking's railroad station, resulting m sligU lr. Juries to the members of the delegation. The delegation, one democratic League member, and three Chinese reporters were taken to hospital. The gendarmes made no arrests.",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19460625-1.2.3
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19461025-1,25 October 1946,4,indiandailymail19461025-1.2.65,"""QUIT CHINA WEEK""  20,000 Chinese Have  Already Signed Petition  To Truman","""QUIT CHINA WEEK"" 20,000 Chinese Have Already Signed Petition To Truman The inauguration meeting of the 'Singapore Chinese Federation tor Peace and Democracy in China."" an organisation recently formed by the China Democratic League, the Hokkicn Association, the Chinese Committee of the Federation of the Trades Unions and many other",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19461025-1.2.65
Morning Tribune 1946-1949,Morning Tribune,morningtribune19480526-1,26 May 1948,1,morningtribune19480526-1.2.6,EX-DAIF ORCE MEN SEEK POLITICAL REFUGE HERE,"EX-DAIF ORCE MEN SEEK POLITICAL REFUGE HERE iTiiKunr Staff Reporter) Mr. Tan Kah Kee well-known Strait* Chinese leader, is m communication with the Singa- pore Government to secure po- j litical refuge for two members Of the China Democratic League .Messrs. Shao Chung Han and Fei Ciiung Tung of Malayan",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19480526-1.2.6
Sunday Tribune 1945-1950,Sunday Tribune (Singapore),sundaytribune19471026-1,26 October 1947,6,sundaytribune19471026-1.2.52,The Far East And The Next World War,"The Far East And The Next World War shanghai. General Douglas Mac Arthurs policy of ""imdisgubted support of Japan"" is attacked as a ""very dangerous policy, more dangerous even thap toyirc with atomic bombs,* 1 by Mr. Huang Ycn-pei. educator and a leader of the Democratic League Chii a\s third",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/sundaytribune19471026-1.2.52
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19470428-1,28 April 1947,5,maltribune19470428-1.2.60,WFDL DELEGATES' SURPRISD VISIT,"WFDL DELEGATES' SURPRISD VISIT Th. three representatives of the World Federation ol Democratic League. Mr. M. Rajko Tomovic, Miss Olga Tchetchetkma and Mr. M. Jean Lautissier. who recently arrived in Singapore, pu:d a surprise visit to the Maytair Musical and Dramatic Association on Saturday night. Member., of the Association and",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19470428-1.2.60
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460128-1,28 January 1946,4/1,maltribune19460128-1.2.13,Democratic League Causes New Hitch In China Talks,"Democratic League Causes New Hitch In China Talks Associated Press. CHUNGKING, Jan. 27.—The withdrawal of the Democratic League from the Political Consultation Conference caused the cancellation of meetings scheduled for today of sub-committees dealing with the national assembly and reorganization of government. The League went on strike as a protest",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460128-1.2.13
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460128-1,28 January 1946,2/3,maltribune19460128-1.2.25,TALKS ON REORGANIZATION OF CHINESE GOVERNMENT,"TALKS ON REORGANIZATION OF CHINESE GOVERNMENT Reuter. CHUNGKING, Jan. 26—After a midnight meeting with Wang Shichieh, Chinese Foreign Minister, Dr. Lo Lung-chi, Democratic League spokesman, said the Foreign Minister made two offers in an eleventh hour bid to break the deadlock in the reorganization of the Chinese Government. The offers",Democratic League; Lo Lung-chi,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460128-1.2.25
Sunday Tribune 1945-1950,Sunday Tribune (Singapore),sundaytribune19460728-1,28 July 1946,5,sundaytribune19460728-1.2.43,Kuomintang Blamed For Deadlock,"Kuomintang Blamed For Deadlock SHANGHAI, .fulv 26. The refusal &lt;&gt;i (he Gffemment tcj diacOSS palitical problems is the chief reason for tin 1 ii :.&lt;5 ock In the peace nesotiations between the Knosttintaiif (Nationalist) Party and the Cbnunvnists, state leaders of t r i &lt;- Democratic League. China's influen'iai third",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/sundaytribune19460728-1.2.43
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19461028-1,28 October 1946,4,indiandailymail19461028-1.2.32,'International' Rally in Singapore urges Americans Quit China,"'International' Rally in Singapore urges Americans Quit China China Democratic League-sponsored demands that the United States withdrew troops from China were supported hy Malay, Indian, Indonesian and Eurasian spokesn.en al an ""international rally"" Saturday in the ""Quit China Week"" campaign of the Federation for Veace and Democracy in China. The",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19461028-1.2.32
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19470429-1,29 April 1947,8,maltribune19470429-1.2.119,TALKS FOR YOUTH,"TALKS FOR YOUTH The World Federation of Democratic League's representatives. Mr. M. Rajko Tomovic. Miss Olga Tchetcfu tkina and Mr. M. J an Lautissier who are on a short stay in Singapore have been invited by various local youtil organisations of all communities to speak on sublets of inter, st",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19470429-1.2.119
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19461029-1,29 October 1946,5,maltribune19461029-1.2.61,Democrats Have New Formula To End War,"Democrats Have New Formula To End War A.P. NANKING. Oct. 28.—L0 Lungchi, spokesman of the Democratic League, announced here yesterday ♦hat a formula has been worked nut I y eight representatives of the League and the Youth Party to end China's civil war. He said as soon as Generalissimo Chiang",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19461029-1.2.61
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19471029-1,29 October 1947,4,indiandailymail19471029-1.2.45,CHINA DEMOCRATIC LEAGUE OUTLAWED,"CHINA DEMOCRATIC LEAGUE OUTLAWED SHANGHAI, Oct. 28— The Chinese Government has outlaw e&lt;/ the Democra/ic League, China's third largest political party with a large membership overseas, especially Malaya. According to the Central News, a Ministry of the Interior spokesman in Nanking, charging the League with conuucting suoM'rsive activities in associa/ion",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19471029-1.2.45
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19471029-1,29 October 1947,4,indiandailymail19471029-1.2.46,Untitled,"NANKING, Oct. 28.— The Democratic League spokesman, Lo Lungchi, told pressmen today that the Government's ban on the league was a ""climax to the Government's plan to stamp out all opposition before the elections"". Lo Lung-chi, called on the United States Ambassador Mr. Sta_n^ afternoon and lU voi Meanwnile. ln&gt;",Democratic League; Lo Lung-chi,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19471029-1.2.46
Morning Tribune 1946-1949,Morning Tribune,morningtribune19471029-1,29 October 1947,1,morningtribune19471029-1.2.13,CHINESE GO VERNMENT OUTLAWS DEMOCRATIC LEAGUE,"CHINESE GO VERNMENT OUTL AWS DEMOCRATIC LEAGUE Following the report &lt;&gt;t the Chinese Government's outlawing of the China Democratic League, the Committee of the local branch of the League are expecting instructions from their Nanking head office, on receipt of which they will meet to discuss the situation A Reuter",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19471029-1.2.13
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19470929-1,29 September 1947,6,maltribune19470929-1.2.59,China Democratic League Plans Pan-Malayan H. Q.,"China Democratic League Plans Pan-Malayan H. Q. (Tribune Staff RepJrter) Tilt' China Democratic league In Singapore is hoM-ng a threeday Pan-Malayan conference lo celebrate its first anniversary here. Addressing the general assembly, which opened last Saturday, Mr. Hu Yue Tse, Chairman, explained the formation of the organisation overseas. He alleged",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19470929-1.2.59
Morning Tribune 1946-1949,Morning Tribune,morningtribune19470929-1,29 September 1947,4,morningtribune19470929-1.2.47,China Democratic League Plans To Establish Pan-Malayan H.Q.,"China Democratic League Plans To Establish Pan- Malayan H.Q. (Tribune Staff Remrter\ h( &gt; i foi I 01 med Hu i s Headquart I up m \|&gt;. last y ly, branched have been hed in diati th: &ti !i;i Oi Ihe tin. e-day c&lt; &gt;nfei i n&lt; to difrusß ways",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19470929-1.2.47
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19480703-1,3 July 1948,2,maltribune19480703-1.2.33,Rights Of Overseas Chinese,"Rights Of Overseas Chinese The Secretariat of the China/ Democratic League has issued a stacement declaring that 1 subject to the observance of the law and order of tae countries In which they live, overseas Chinese have the right to take part in their own patriotic political movement. It is",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19480703-1.2.33
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19460603-1,3 June 1946,4,indiandailymail19460603-1.2.37,IMMEDIATE  ENFRANCHISEMENT OF INDIANS URGED,"IMMEDIATE ENFRANCHISEMENT OF INDIANS URGED London, June I. A manifesto demanding the immediate enfranchisement of the Indian people has been issued by the newly formed IndoBritish Democratic League. ""Recognition of this immediate necessity for the solution of India's political and economic problems is, however, not enough,"" the manifesto lays. ""What",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19460603-1.2.37
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460603-1,3 June 1946,7,maltribune19460603-1.2.92,Demand For The Vote Immediately,"Demand For The Vote Immediately Reuter. LONDON, June I.—A manifesto demanding the immediate enfranchisement of the Indian people has been issued by the newly formed lndo-British Democratic League. ""Recognition of this immediate necessity for the solution of India's political and economic problems is, however, not enough,"" the manifesto ,&lt;=ays. ""What",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460603-1.2.92
Morning Tribune 1946-1949,Morning Tribune,morningtribune19471003-1,3 October 1947,15,morningtribune19471003-1.2.158,Blast Against Democratic League Hint Kuomintang May Outlaw It,"Blast Against Democratic League Hint Kuomintang May Outlaw It Government Information Director, Holllng- ft tion &lt;&gt;t the Democratic League today was mmedlate Government action, ,itv. Which is now th»- only o""-aru/.ed ODDOKuomintang china political Mai h ii nut timer &gt; inifi pi*many man the palgn nee time the DeNanking, able",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19471003-1.2.158
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19461030-1,30 October 1946,5,maltribune19461030-1.2.73,China: New Hope,"China: New Hope A.P. NANKING, Oct. 29.—A formula evolved by third party mediatois is believed to have been the principal subject of an important secret meeting between 1 high-ranking Government officials at Generalissimo Chiang Kai-shek's residence last night. Lo Lung-chi, spokesman of Democratic League, said today: ""There is some hope",Democratic League; Lo Lung-chi,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19461030-1.2.73
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19471030-1,30 October 1947,3,indiandailymail19471030-1.2.34,China Democratic League Outlawed,China Democratic League Outlawed The Third Largest Political Party With (luge Following In Malaya |4RG I OF DEFIANCE OF NANKING GOVT. BY 1 MALAYAN BRANCH spokesman of the Ministry of the the outlawing of the Democratic Leanest party in China with a large membertlly in Malax a said it had,China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19471030-1.2.34
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19471030-1,30 October 1947,6,maltribune19471030-1.2.81,S'hai Police take Over Democratic League I lqrs.,"S'hai Police take Over Democratic League I lqrs. Reuter. SHANGHAI. Oct. 29 -The Sharghai pohce have received lnstructiors to take over the Democratic League headquarters in the former Frei eh Conces- i lion. i Mtmbers of the Leaeue. in- eluding its Preside; t, charg 1 Lan, are under close police",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19471030-1.2.81
Morning Tribune 1946-1949,Morning Tribune,morningtribune19470930-1,30 September 1947,4,morningtribune19470930-1.2.53,"""U.S. Prolonging Civil War In China By Aiding Kuomintang""","""U.S. Prolonging Civil War In China By Aiding Kuomintang"" achieve Chirm muat h gn polU y. fiet 1 1 cm the irable influence of r poli&lt; &gt; ""Imperialist Policy"" Flayed By China Democratic league Chairman (Tribune Staff Reporter) Pan-Malayan conference oj iiu 1 China Demoi s headquarters tnally established in",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19470930-1.2.53
Morning Tribune 1946-1949,Morning Tribune,morningtribune19461231-1,31 December 1946,4,morningtribune19461231-1.2.37,MINORITY PARTIES,"MINORITY PARTIES NANKING: Doc. 29.— The Crete r miration of the Democratic League ono of the minority pftrtiei which boycotted the recent National Assembly— not to participate mi n the forthcoming reorganisation of government was announced by Dr. Lo Lung-chi, spokesman of the Party, according to the Chinese press. Dr.",Democratic League; Lo Lung-chi,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19461231-1.2.37
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19461031-1,31 October 1946,7,maltribune19461031-1.2.94,China As-You-Were,"China As-You-Were Reuter. NANKING. Oct. 30.- The Democratic League. China's third party, have withdrawn their cease-fire proposal which they had delivered to the Government and the Communists as well as to General Marshall. Lo Lung Cnl, the League spokesman said: 'Almost immediately after our cease fireproposal went out. we found",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19461031-1.2.94
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19471031-1,31 October 1947,1,indiandailymail19471031-1.2.18,DEMOCRATIC LEAGUE  MEMBERS TO  LEE?,"DEMOCRATIC LEAGUE MEMBERS TO LEE? NANKING, Oct. 30.- jtoumintang Vic-Ministtr of Information, Mi Tao Shi-shen, in an interview pri h the official Central Daily News i&gt;»&lt;--dicted that Democratic Leagac m&lt; ben will attempt to flee to llanchu Hong Kong and Macao, and UJ th*' authoritiei to take steyi, to prevent",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19471031-1.2.18
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19471031-1,31 October 1947,4,indiandailymail19471031-1.2.50,"""It Will Have Profound Effects Abroad""","""It Will Have Profound Effects Abroad"" OUTLAWING OF UKMOCKATIC JLEAGU- SHANGHAI, Oct. 30. Neutral observers warned today that tne gover'iii. in outlawing 01 the Democratic League the last Opposition party m China would have proiound ettects abroad unless the government showed beyond doubt that the League was actually part ol",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19471031-1.2.50
Morning Tribune 1946-1949,Morning Tribune,morningtribune19471104-1,4 November 1947,9,morningtribune19471104-1.2.69,Sequel To Democratic League Ban,"Sequel To Democratic League Ban SHANGHAI. Nov J. The former prem^s of the ComS"" chief negotiator, cnou Fnlai m the ex-French ConleL on here, was tun ed over [o^he sSai ghai Municipal Oc veri merit ve.Urda.v by NBH HoaHquarters. The communist property had been linear the custody of thr Democratic",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19471104-1.2.69
Morning Tribune 1946-1949,Morning Tribune,morningtribune19480105-1,5 January 1948,15,morningtribune19480105-1.2.110,China Political  Party In Burma,"China Political Party In Burma RAaSGOON. Jan. 3 The China Democratic League. Chinas third largest political party, today established its Burma branch m Rangoon's Chinatown and selected a committee of seven local Chinese businessmen and journalists Tne brancn will co-ordinate its activities with the Party's overseas offices m other South-East",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19480105-1.2.110
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19490705-1,5 July 1949,1,maltribune19490705-1.2.6,RED CHINA SEEKS SHARE IN JAP TREATY,"RED CHINA SEEKS SHARE IN JAP TREATY SAN FRANCISCO Mon. Communist Peiping Radio today claimed the right of the ""people's democratic new China"" to sit in on the drafting of a Japanese peace treaty. Quoting Shen Chun-ju, a high-ranking member of the Democratic Leagues Standing Committee, the broadcast said that",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19490705-1.2.6
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19480505-1,5 May 1948,2,maltribune19480505-1.2.36,Leftist Chinese Reject Chiang's Election,"Leftist Chinese Reject Chiang's Election Chiang Kai-shek's election as the first President of the Republic of China was rejected as unconstitutional at a meeting of representatives of 120 leftist Singapore Chinese organisations held at the Seamen's Union in Seah Street yesterday afternoon. The meeting, organised by the China Democratic League",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19480505-1.2.36
Morning Tribune 1946-1949,Morning Tribune,morningtribune19471105-1,5 November 1947,4,morningtribune19471105-1.2.37.1,Dynamiting The Bridge,"Dynamiting The Bridge The outlawing of the Chines, Demociadc League serves to underline the fact that the Nanking Government has decided to fight the Red, to a finish, until now ihe existence of the Democratic League as a bridge between :he Reds ana the Nationalists had kept alive the hope",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19471105-1.2.37.1
Indian Daily Mail 1949-1953,Indian Daily Mail,indiandailymail19490706-1,6-Jul-49,3,indiandailymail19490706-1.2.49,COMMUNIST CHINA DEMANDS EARLY WITHDRAWAL OF U.S. FORCES FROM JAPAN,"COMMUNIST CHINA DEMANDS EARLY WITHDRAWAL OF U.S. FORCES FROM JAPAN SAN FRANCISCO, July :&gt;. Communist Peiping Radio yesterday claimed the right of the ""people's democratic new China"" to sit in on the drafting of a Japanese peace treaty. Quoting Shen Chun-ju. a high-, ran&ing member of the Democratic Leagues Standing",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19490706-1.2.49
Morning Tribune 1946-1949,Morning Tribune,morningtribune19480807-1,7 August 1948,1,morningtribune19480807-1.2.10,CHINA INVASION REPORT DENIED,"CHINA INVASION REPORT DENIED Rangoon, Aug. 6.— The China Democratic League, outlawed by the Chinese Government, today denied that it was organising an armed force on the Burma border for a possible invasion of China. It is described reports to this effect as ""an invention by the reactionary Nanking Government.""-",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19480807-1.2.10
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19480507-1,7 May 1948,1,maltribune19480507-1.2.3,ANTI-CHIANG WEEK HERE,"ANTI-CHIANG WEEK HERE in* Democratic League and i tin r Chinese organizain Singapore are holding an anti-Chiang Kai-shek week from May 13 to 19. gramme includes isopaganda pamphlets and pecial editions of the Nan I'ao setting forth the of President Chiang during the past 20 years, eviow that his election",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19480507-1.2.3
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460108-1,8 January 1946,2/3,maltribune19460108-1.2.35,Singapore Indians Hail Delhi Decision,"Singapore Indians Hail Delhi Decision SINGAPORE, To-day Two important resolutions were passed at a meeting of the ""New Democratic League of Indians."" The iirst appealed to the 8.M.A., to release ""those Indians who are now detained on charges of collaboration with the enemy during the period of Japanese occupation."" The",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460108-1.2.35
Morning Tribune 1946-1949,Morning Tribune,morningtribune19460608-1,8 June 1946,12,morningtribune19460608-1.2.119,S'pore Chinese Cable Truman,"S'pore Chinese Cable Truman An appeal for the early withdrawal of all American troop s from China and to refrain from rendering any military or financial aid to cither side in the Civil War. was cabled io Presiden: Truman by the Singa. pore Committee of the China Democratic League, on",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19460608-1.2.119
